epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
1,0.5707623128890991,0.49144867553710936,0.49715264835357664,0.69993125,0.765,0.7593
2,0.47456169114112856,0.46029420108795166,0.46661567540168764,0.77435,0.7836,0.78045
3,0.4450229869842529,0.4450007984161377,0.4519723708152771,0.79243125,0.792,0.78875
4,0.426332567691803,0.4362199234008789,0.4433254632472992,0.8040625,0.8003,0.79345
5,0.41129030199050903,0.43212686605453493,0.4392930712223053,0.81234375,0.80145,0.7965
6,0.39879280371665954,0.42816807107925414,0.43572795329093933,0.8199625,0.8044,0.79465
7,0.387606650018692,0.43017781562805174,0.43744333696365356,0.82575625,0.80565,0.7974
8,0.37603153948783874,0.4331739591598511,0.44017454743385315,0.83265625,0.80425,0.7977
9,0.366592374753952,0.44774443683624265,0.4545961572647095,0.83690625,0.8006,0.79315
10,0.3573989758491516,0.4378292895793915,0.4436462511539459,0.84209375,0.8038,0.79485
