epoch,train_loss,train_acc,test_loss,test_acc,time_sec
1,1.858503,0.29282,1.570666,0.3999,29.93
2,1.566176,0.41544,1.451047,0.4598,29.8
3,1.405935,0.48064,1.276643,0.5261,29.77
4,1.293631,0.52804,1.194869,0.5629,29.77
5,1.201012,0.56288,1.153014,0.576,29.67
6,1.13428,0.58936,1.14567,0.5883,29.41
7,1.071168,0.61494,1.018623,0.6326,29.37
8,1.026302,0.6335,1.017013,0.6313,29.78
9,0.988821,0.64598,0.948638,0.6574,29.77
10,0.953504,0.66082,0.925353,0.6655,29.89
11,0.923199,0.66974,0.887325,0.6759,29.44
12,0.902559,0.67912,0.869088,0.6884,29.83
13,0.880199,0.68826,0.839824,0.6966,29.8
14,0.860032,0.69546,0.840336,0.6942,29.44
15,0.843082,0.70198,0.819247,0.7018,29.57
16,0.827359,0.70884,0.808277,0.7093,29.78
17,0.817197,0.71074,0.804232,0.7087,29.45
18,0.807108,0.7158,0.801617,0.7133,29.84
19,0.808761,0.71416,0.79514,0.7151,29.9
20,0.803008,0.71514,0.795702,0.7145,29.63
