epoch,train_loss,train_acc,test_loss,test_acc,time_sec
1,1.81462,0.30928,1.557695,0.4066,33.14
2,1.462634,0.4564,1.34829,0.512,33.5
3,1.266763,0.54088,1.117725,0.5921,33.7
4,1.133349,0.59344,1.070201,0.6134,33.54
5,1.043792,0.62984,1.04679,0.6216,33.25
6,0.979585,0.65466,0.936071,0.6662,33.29
7,0.921627,0.67342,0.936814,0.6665,33.95
8,0.86579,0.69568,0.852671,0.6974,33.78
9,0.819905,0.71118,0.792363,0.7176,33.42
10,0.782597,0.72756,0.825597,0.7083,33.28
11,0.744852,0.73968,0.730343,0.7423,33.33
12,0.714597,0.75128,0.734222,0.7401,33.52
13,0.693213,0.75782,0.689725,0.7587,34.02
14,0.675721,0.76628,0.676907,0.7639,33.62
15,0.65305,0.77346,0.672288,0.7634,33.31
16,0.636122,0.77934,0.658539,0.7677,33.7
17,0.623018,0.78466,0.646584,0.7716,34.47
18,0.615617,0.7874,0.6424,0.7726,33.9
19,0.607285,0.79186,0.641454,0.7744,33.48
20,0.605852,0.79124,0.637772,0.7734,33.87
