epoch,train_loss,train_acc,test_loss,test_acc
1,0.2217945412794749,0.9344166666666667,0.06868258243761957,0.9768
2,0.059799611693620684,0.9818,0.03967142607662827,0.9875
3,0.04227252250313759,0.9869166666666667,0.03364894812330604,0.9885
4,0.032594922913610935,0.9896166666666667,0.03530398897994309,0.9881
5,0.02514884431188305,0.9920833333333333,0.032911977262981236,0.9883
6,0.020089549319446086,0.9936833333333334,0.03980103705266956,0.9875
7,0.016362876333730916,0.99455,0.03935575812936295,0.9881
8,0.01138325842215369,0.9962833333333333,0.03552178824286384,0.9877
9,0.010536480640682081,0.99665,0.0317754951488314,0.99
10,0.010396732481444876,0.9965833333333334,0.03642009054662776,0.989
